,movie_name,year,genre,Poster_url,director,cast,overview
735,Sheran Di Kaum Punjabi,2024,"Action, Adventure, Drama",,Gippy Grewal,"Sanjay Dutt, Gippy Grewal, Harpreet Kaler, Ravi Dehru",Add a Plot
736,Brothers,2015,"Action, Drama, Sport",,Karan Malhotra,"Akshay Kumar, Sidharth Malhotra, Jackie Shroff, Jacqueline Fernandez","After living many years together, two brothers discover that they are not blood related so square off in a mixed martial arts tournament to determine whose blood is stronger."
737,Deewangee,2002,"Crime, Drama, Mystery",,Anees Bazmee,"Ajay Devgn, Akshaye Khanna, Urmila Matondkar, Farida Jalal",A lawyer tried to defend a person accused of murder who is diagnosed with Split personality disorder.
738,Madaari,2016,"Drama, Thriller",,Nishikant Kamat,"Irrfan Khan, Jimmy Shergill, Vishesh Bansal, Tushar Dalvi","When Nirmal loses his family in a disaster caused by government corruption, he embarks on a journey seeking accountability and revenge."
739,Bawarchi,1972,"Comedy, Musical, Drama",,Hrishikesh Mukherjee,"Rajesh Khanna, Jaya Bachchan, Usha Kiran, Harindranath Chattopadhyay",A dysfunctional middle-class family is transformed due to the influence of their new multi-talented household servant - but he might be too good to be true.
740,Breakaway,2011,"Comedy, Drama, Sport",,Robert Lieberman,"Vinay Virmani, Camilla Belle, Russell Peters, Rob Lowe",An ethnic Canadian hockey player struggles against traditional family values and discrimination from mainstream hockey players.
741,Mughal-E-Azam,1960,"Drama, Romance, War",,K. Asif,"Prithviraj Kapoor, Madhubala, Dilip Kumar, Durga Khote",A 16th century prince falls in love with a court dancer and battles with his emperor father.
742,A Gentleman,2017,"Action, Comedy",,"Krishna D.K., Raj Nidimoru","Sidharth Malhotra, Jacqueline Fernandez, Darshan Kumaar, Hussain Dalal","Gaurav, a simple hard working guy for a white collar job visits Mumbai for a meeting where his doppelganger is about to bring chaos in his life."
743,Rock On!!,2008,"Drama, Music",,Abhishek Kapoor,"Arjun Rampal, Farhan Akhtar, Luke Kenny, Purab Kohli",Four friends reunite to relive their moments of glory as a rock band.
744,Evil Eye,2020,"Horror, Mystery, Thriller",,"Elan Dassani, Rajeev Dassani","Sarita Choudhury, Sunita Mani, Bernard White, Omar Maskati",A superstitious mother is convinced that her daughter's new boyfriend is the reincarnation of a man who tried to kill her 30 years ago.
745,Margarita with a Straw,2014,Drama,,"Shonali Bose, Nilesh Maniyar","Kalki Koechlin, Revathi, Sayani Gupta, Hussain Dalal","A rebellious young woman with cerebral palsy leaves her home in India to study in New York, unexpectedly falls in love, and embarks on an exhilarating journey of self-discovery."
746,Rakshak India's Braves,2023,"Action, Biography",,Akshay Choubey,"Aayat, Jatin Ahuja, Ravi Aneja, Sanju Banerjee","The bravery of Lieutenant Triveni Singh, a young soldier who gave his own life to protect over 300 people who were caught in the cross firing at the Jammu railway station in a terrorist attack in 2004."
747,The Diplomat,2024,"Drama, Thriller",,Shivam Nair,"Kumud Mishra, Sharib Hashmi, Amitoj Mann, John Abraham","Based on a story of an Indian diplomat who tries to repatriate an Indian girl from Pakistan, where she was presumably forced and deceived into marrying against her will."
748,Koyla,1997,"Action, Drama, Musical",,Rakesh Roshan,"Shah Rukh Khan, Madhuri Dixit, Amrish Puri, Ranjeet Bedi","A village girl agrees to a marriage to a king she has never met after he sends her a photograph of himself. But the man in the photograph is not the king but his most loyal slave, the handsome but mute Shankar."
749,Trimurti,1995,"Action, Drama",,Mukul Anand,"Jackie Shroff, Anil Kapoor, Shah Rukh Khan, Priya Tendulkar","After being framed, a policewoman languishing in prison hopes that her three sons will deliver justice and restore her honor."
750,Thappad,2020,Drama,,Anubhav Sinha,"Taapsee Pannu, Pavail Gulati, Kumud Mishra, Ratna Pathak Shah",Thappad is a story of Amrita whose seemingly perfect life is shattered when her husband slaps her once in a party. But is one slap enough to question what a relationship stands for?
751,Joker,2012,"Comedy, Family, Sci-Fi",,Shirish Kunder,"Akshay Kumar, Sonakshi Sinha, Shreyas Talpade, Minissha Lamba","A space scientist working on a project to communicate with aliens visits a village called Paglapur. To improve the plight of the inhabitants of Paglapur, he comes up with a novel idea."
752,Nazar Andaaz,2022,"Comedy, Drama",,Vikrant Deshmukh,"Abhishek Banerjee, Divya Dutta, Namrata Kapoor, Kumud Mishra","Sudhir, blind by birth, lives alone with his housemaid Bhavani. While Bhavani is out, he takes in Ali to help around the house. Both Bhavani and Ali grow envious of each other. Nazar Andaaz is a comedic yet heartfelt story of these three."
753,Gulabo Sitabo,2020,"Comedy, Drama",,"Shoojit Sircar, Kuran Dhillon","Amitabh Bachchan, Ayushmann Khurrana, Vijay Raaz, Brijendra Kala","Two scheming men get caught up in a game of one upmanship, each one attracting other members to their clan and each one with an agenda of his own."
754,Phobia,2016,"Drama, Mystery, Thriller",,Pavan Kirpalani,"Radhika Apte, Amrita Bagchi, Nivedita Bhattacharya, Yashaswini Dayama","An agoraphobic young woman, traumatized by past events, finds herself trapped and terrorized in her own home."
755,B.A. Pass 2,2017,Drama,,"Shadab Khan, Shadab Khan","Kritika Sachdeva, Satiiysh Saarathy Sasho, Sanghmitra Hitaishi, Indraneil Sengupta","B. A. Pass 2 is the story of a young girl, who, in order to achieve her goals and to avoid marriage, makes a few wrong decisions and adopts ill habits that eventually ruin her life."
756,Commando,2013,"Action, Adventure, Thriller",,Dilip Ghosh,"Vidyut Jammwal, Hsieh Chang Hai, Nelson Liao Sheng Hua, Ishita Vyas","Karan, a disavowed Indian commando, helps protect a woman from a local thug who is hellbent on forcing her to marry him."
757,Khal Nayak,1993,"Action, Adventure, Crime",,Subhash Ghai,"Sanjay Dutt, Madhuri Dixit, Jackie Shroff, Rakhee Gulzar",A prison guard goes undercover as a dancer to try and recapture an escaped criminal and restore her police inspector boyfriend's reputation.
758,Dhan Dhana Dhan Goal,2007,"Drama, Sport, Thriller",,Vivek Agnihotri,"John Abraham, Arshad Warsi, Bipasha Basu, Boman Irani","Jaidev and Kavita Bhasin live a middle-classed lifestyle in Southall, England, along with their son, Sunny. During the mid-80s Jaidev was a huge fan of the all-Asian Southall Football Club,...                See full summary »"
759,Chocolate: Deep Dark Secrets,2005,"Crime, Drama, Mystery",,Vivek Agnihotri,"Anil Kapoor, Suniel Shetty, Arshad Warsi, Emraan Hashmi",Five Indians living in London find themselves thrown together when two of them are implicated for a bomb blast. An Indian lawyer enters the scene to bail them out of their predicament.
760,Dolly Kitty Aur Woh Chamakte Sitare,2019,"Comedy, Drama",,Alankrita Shrivastava,"Konkona Sen Sharma, Bhumi Pednekar, Amol Parashar, Kubbra Sait","A disillusioned Delhi wife and her new-in-town cousin navigate damning secrets, dreams and their thorny dynamic on their respective roads to freedom."
761,Badrinath Ki Dulhania,2017,"Comedy, Drama, Romance",,Shashank Khaitan,"Varun Dhawan, Alia Bhatt, Sahil Vaid, Swanand Kirkire",Badrinath is looking for a typical bride; Vaidehi is looking for an independent life. Together they must break with tradition and redefine their role.
762,Dial 100,2021,"Action, Thriller",,Renzil D'Silva,"Manoj Bajpayee, Neena Gupta, Sakshi Tanwar, Nandu Madhav","One night, while working at the Mumbai Police Emergency Call Centre, police officer Nikhil Sood gets a call from a hysterical woman who wants to commit suicide. Even as he tries to save her...                See full summary »"
763,Yalgaar,1992,"Action, Drama, Thriller",,Feroz Khan,"Feroz Khan, Sanjay Dutt, Kabir Bedi, Manisha Koirala",Childhood friends became enemies when one Mahendra Ashwini Kumar grows up to be Additional Police Commissioner and the other Raj Pratap Singhal becomes a smuggler. Mahendra have two sons ...                See full summary »
764,Kaun Pravin Tambe?,2022,"Biography, Drama, Sport",,Jayprad Desai,"Shreyas Talpade, Gaurav Kamble, Arif Zakaria, Asif Ali","An indian cricketer who shows persistence and hardwork to achieve his ultimate goal of playing a Ranji Trophy. At the penultimate stage of the career at a age when it is believed people's career ends, he starts a new chapter of his life."
765,Toofaan,2021,"Action, Drama, Sport",,Rakeysh Omprakash Mehra,"Farhan Akhtar, Mrunal Thakur, Paresh Rawal, Mohan Agashe",The story of a boxer and the struggles he faces on his journey to get to the national level competition.
766,Besharam,2013,"Action, Comedy, Romance",,Abhinav Kashyap,"Ranbir Kapoor, Pallavi Sharda, Rishi Kapoor, Neetu Singh",A car thief falls in love with a woman whose car he has stolen.
767,India's Most Wanted,2019,"Action, Adventure, Thriller",,Raj Kumar Gupta,"Arjun Kapoor, Sudev Nair, Preet Bhullar, Rajesh Sharma",A group of intelligence officers embark on a top secret mission to track down a wanted international criminal.
768,Do Bigha Zamin,1953,Drama,,Bimal Roy,"Balraj Sahni, Nirupa Roy, Ratan Kumar, Murad","In the hope of earning enough money to pay off his debts and save his land, a poor farmer becomes a rickshaw puller in Calcutta and faces many difficulties."
769,Aamir,2008,"Action, Crime, Drama",,Raj Kumar Gupta,"Rajeev Khandelwal, Mukesh Agrohari, Supavitra Babul, Vasan Bala",A doctor of Indian origin returning to Mumbai from London is forced to participate in a terrorist plot.
770,Raju Ban Gaya Gentleman,1992,"Comedy, Musical, Romance",,Aziz Mirza,"Shah Rukh Khan, Juhi Chawla, Nana Patekar, Amrita Singh","Raju comes to Bombay chasing his dreams, but keeps losing out on opportunities. His love, Renu helps him find a job. Success goes to his head until one day a tragic accident destroys his reputation."
771,Titu Ambani,2023,Drama,,Rohit Raj Goyal,"Tushar Pandey, Deepika Singh, Raghubir Yadav, Sapna Sand","Titu.. His aspirations and dreams are far from his actions, he dreams with open eyes, and finds the shortest way to achieve his dreams. Despite despite his debt-ridden life, if you ask him,...                See full summary »"
772,Judgementall Hai Kya,2019,"Comedy, Drama, Mystery",,Prakash Kovelamudi,"Kangana Ranaut, Rajkummar Rao, Amyra Dastur, Amrita Puri",Following the story of two quirky individuals whose lives pivot between reality and illusions.
773,Saudagar,1973,"Drama, Family",,Sudhendu Roy,"Amitabh Bachchan, Nutan, Trilok Kapoor, Padma Khanna",A calculative man schemes to deceit a poor but young widow for his personal monetary gains.
774,Khiladi 786,2012,"Action, Comedy, Romance",,Ashish R. Mohan,"Akshay Kumar, Asin Thottumkal, Mithun Chakraborty, Raj Babbar","A father who runs a marriage bureau believes that his son is a failure in life. In order to prove him wrong, his son takes on the task of finding a match for a gangster's sister."
775,Hurdang,2022,"Drama, Romance",,"Nikhil Nagesh Bhat, Vishal Chaturvedi","Sunny Kaushal, Nushrratt Bharuccha, Vijay Varma, Viraj Kapoor","Back in 1990s, an aspiring IAS starts a rebellion against the caste-based reservation."
776,Plan A Plan B,2022,"Comedy, Romance",,Shashanka Ghosh,"Riteish Deshmukh, Tamannaah Bhatia, Poonam Dhillon, Kusha Kapila","Follows a matchmaker who believes marriage is for everyone except herself, and a successful divorce lawyer with a secret, who cross paths, and explores if opposites coexist or attract."
777,Pari,2018,"Fantasy, Horror, Mystery",,Prosit Roy,"Anushka Sharma, Parambrata Chattopadhyay, Rajat Kapoor, Ritabhari Chakraborty","Arnab tries to help Ruksahana, who is found under mysterious circumstances in a house. He lets her stay at his home until he discovers something strange about her."
778,Thank You,2011,Comedy,,Anees Bazmee,"Akshay Kumar, Sonam Kapoor, Bobby Deol, Irrfan Khan",Three wives engage the services of a private investigator after they suspect their respective husbands of infidelity.
779,Firrkie,2023,Thriller,,Ashok K Mishra,"Jackie Shroff, Neil Nitin Mukesh, Kay Kay Menon, Karan Singh Grover",Add a Plot
780,1920: Evil Returns,2012,"Drama, Horror, Romance",,Bhushan Patel,"Aftab Shivdasani, Tia Bajpai, Sharad Kelkar, Vidya Malvade","A famous poet, Jaidev, meets a woman who has lost her memories. He brings her to his house and tries to help her, but things take an ugly turn when she gets possessed by an evil spirit."
781,Bol Bachchan,2012,"Action, Comedy",,Rohit Shetty,"Amitabh Bachchan, Ajay Devgn, Abhishek Bachchan, Asin Thottumkal","All hell breaks loose when a Muslim man breaks a temple lock to save a little child, thus for his safety keeps a Hindu name, where he starts making web of lies."
782,Hisss,2010,"Comedy, Drama, Horror",,Jennifer Lynch,"Mallika Sherawat, Irrfan Khan, Jeff Doucette, Divya Dutta",Based on the Far Eastern myth of the snake woman who is able to take on human form.
783,Guthlee Ladoo,2023,Drama,,Ishrat R. Khan,"Sanjay Mishra, Subrat Dutta, Kalyanee Mulay, Kanchan Pagare","Guthlee, son of a poor sweeper, has a dream - to go to school. But the obstacle is his caste. A headmaster is sympathetic to him but powerless against caste discrimination. When they develop an unspoken bond, Guthlee's dream sees hope."
784,Haan Maine Bhi Pyaar Kiya,2002,"Drama, Musical, Romance",,Dharmesh Darshan,"Akshay Kumar, Karisma Kapoor, Abhishek Bachchan, Kader Khan",Shiv (Abhishek Bachchan) and Pooja (Karisma Kapoor) are happily married to each other but sometimes can get into the most petty arguments coming from the way they approach life. Shiv takes ...                See full summary »
785,Soldier,1998,"Action, Drama, Musical",,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Bobby Deol, Preity G Zinta, Rakhee Gulzar, Farida Jalal",The story follows a young man (Bobby Deol) who flees India and arrives in Australia seeking vengence for something that started in India. In Australia he meets and falls in love with the daughter of a rich and powerful man(Suresh Oberoi). The story keeps the covers on Bobby Deols plan until the end when everything is revealed as to why he is a SOLDIER.
786,Phool Aur Patthar,1966,"Action, Drama, Romance",,O.P. Ralhan,"Meena Kumari, Dharmendra, Shashikala Jawalkar, Lalita Pawar",A criminal young man decides to reform himself for a left away widowed woman. But their relationship faces challenges.
787,The Xpose,2014,"Drama, Mystery, Romance",,Anant Mahadevan,"Himesh Reshammiya, Yo Yo Honey Singh, Irrfan Khan, Zoya Afroz","This is a dramatic chain of events in the most glamorous ,swinging era of Hindi films... the 1960s. It was a decade when film stars tasted success and carried their larger than life screen ...                See full summary »"
